id,name,producer,country,region,denomination,vintage,grape_varieties,color,body,tannins,acidity,alcohol_level,sweetness,food_pairings,occasion,style_tags,price_avg,price_min,availability,purchase_url,description
1,Montepulciano d’Abruzzo,Tenuta Esempio,Italia,Abruzzo,DOC,2022,Montepulciano,rosso,medio,medio,media,medio,secco,carne|pasta,quotidiano,morbido|facile,9.9,8.9,online,https://example.com/1,"Morbido e rotondo, con frutta rossa e tannino gentile."
2,Chianti Classico,Podere Demo,Italia,Toscana,DOCG,2021,Sangiovese,rosso,medio,medio,alta,medio,secco,carne|formaggi,cena_importante,elegante|fresco,16.5,14.9,online,https://example.com/2,"Fresco e sapido, perfetto con bistecca e salumi."
3,Nero d’Avola,Cantina Sample,Italia,Sicilia,DOC,2022,Nero d'Avola,rosso,strutturato,alto,media,medio,secco,carne|griglia,tra_amici,potente|speziato,13.0,11.9,online,https://example.com/3,"Strutturato e speziato, ideale per grigliate."
4,Vermentino,Cantina Mare,Italia,Sardegna,DOC,2023,Vermentino,bianco,leggero,basso,alta,basso,secco,pesce|aperitivo,quotidiano,fresco|aromatico,11.0,9.9,online,https://example.com/4,"Fresco e profumato, ottimo con pesce e aperitivi."
5,Prosecco Brut,Bolle Demo,Italia,Veneto,DOC,2023,Glera,bianco,leggero,basso,media,basso,secco,aperitivo,tra_amici,frizzante|fresco,8.5,7.9,online,https://example.com/5,"Bollicina facile e versatile, perfetta per aperitivo."
fr_loire_w01,Muscadet Sèvre-et-Maine Sur Lie,Domaine de la Riviere,france,loire,muscadet sevre-et-maine sur lie,2022,melon de bourgogne,bianco,leggero,basso,alta,basso,secco,pesce|aperitivo,quotidiano,fresco|facile,12.90,11.50,disponibile,,bianco secco e teso agrumi e mineralità ideale con frutti di mare e pesce.
fr_loire_w02,Sancerre Sauvignon Blanc,Domaine des Coteaux,france,loire,sancerre,2022,sauvignon blanc,bianco,medio,basso,alta,medio,secco,pesce|aperitivo|formaggi,cena_importante,fresco|aromatico|elegante,18.50,17.00,disponibile,,sauvignon elegante note agrumate ed erbacee finale pulito e minerale.
fr_bourg_r01,Bourgogne Pinot Noir,Maison de Bourgogne,france,bourgogne,bourgogne rouge,2021,pinot noir,rosso,medio,medio,media,medio,secco,carne|pasta|formaggi,cena_importante,elegante|fine,32.00,30.00,disponibile,,pinot noir fine frutto rosso e spezie leggere tannino delicato e buona bevibilità.
fr_bourg_r02,Côte de Nuits-Villages Pinot Noir,Domaine du Clos,france,bourgogne,cote de nuits-villages,2020,pinot noir,rosso,medio,medio,media,medio,secco,carne|formaggi,cena_importante,elegante|speziato,39.00,36.00,disponibile,,più strutturato e profondo frutti rossi maturi spezie finale persistente.
fr_bourg_r03,Savigny-lès-Beaune Pinot Noir,Domaine des Vignes,france,bourgogne,savigny-les-beaune,2020,pinot noir,rosso,medio,medio,media,medio,secco,carne|formaggi,cena_importante,elegante|raffinato,45.00,42.00,disponibile,,pinot noir raffinato equilibrio tra frutto e note terrose tannino fine e lunga chiusura.
